Date,Open,High,Low,Close,Adj Close,Volume,MarktCap,returns,Polarity Score
03/02/2022,0.137213007,0.138747007,0.135564998,0.137540996,0.137540996,383506507,52622080.88,0.002229718,0.14602035
04/02/2022,0.137522995,0.147591993,0.137250006,0.147503003,0.147503003,580740990,79865240.54,0.072429368,0.09634218
13/02/2022,0.144379005,0.157353997,0.144031003,0.148947999,0.148947999,1581065491,228272662.2,0.031460069,0.113199825
14/02/2022,0.148868993,0.150132,0.143648997,0.146002993,0.146002993,898042727,133690716.4,-0.019772041,0.3673911
15/02/2022,0.145996004,0.152199,0.145202994,0.151760995,0.151760995,674961496,98541681.5,0.039437564,0.150534549
16/02/2022,0.151778996,0.151823997,0.146770999,0.149094999,0.149094999,505588732,76737750.13,-0.017567073,0.010104741
17/02/2022,0.149049997,0.149889007,0.138071001,0.138551995,0.138551995,721382126,107522004,-0.070713329,0.232539405
18/02/2022,0.138594002,0.142096996,0.13696,0.138768002,0.138768002,563817289,78141694.22,0.001559034,0.245144392
19/02/2022,0.138763994,0.145906001,0.138751,0.141205996,0.141205996,655782652,90999019.97,0.017568848,0.00016783
20/02/2022,0.141196996,0.141196996,0.135851994,0.136868,0.136868,490138547,69206090.45,-0.030721048,0.2194735
21/02/2022,0.136838004,0.141344994,0.128245994,0.128490001,0.128490001,913773124,125038890.4,-0.061212256,0.135519375
22/02/2022,0.128488004,0.131696001,0.125365004,0.131552994,0.131552994,711967119,91479234.18,0.023838379,0.1125032
23/02/2022,0.131560996,0.135336995,0.127846003,0.127846003,0.127846003,587472906,77288520.74,-0.028178695,0.15350195
24/02/2022,0.127820998,0.127850994,0.109554999,0.123813003,0.123813003,2046477370,261582780.7,-0.03154576,0.109284067
25/02/2022,0.123842999,0.128180996,0.120982997,0.127575994,0.127575994,805161073,99713562.23,0.030392529,0.1071809
26/02/2022,0.127568007,0.130070999,0.126199007,0.127646998,0.127646998,535575654,68322318.52,0.000556563,0.1414587
27/02/2022,0.127638996,0.128234997,0.122052997,0.123111002,0.123111002,592809151,75665564.64,-0.035535465,0.199485454
28/02/2022,0.123117998,0.134479001,0.121954001,0.133156002,0.133156002,765755924,94278336.51,0.081593028,0.131502325
03/03/2022,0.132998005,0.133649006,0.127810001,0.129610002,0.129610002,518193386,68918686.31,-0.025415449,0.1381425
04/03/2022,0.129630998,0.129856005,0.121544003,0.122590996,0.122590996,650665594,84346430.17,-0.054154815,0.08510676
13/03/2022,0.115079999,0.116231002,0.110685997,0.111607999,0.111607999,373430106,42974336.21,-0.030642015,0.1110595
14/03/2022,0.111607,0.118966997,0.110817,0.114047997,0.114047997,822092169,91751240.9,0.021862215,0.07584052
15/03/2022,0.114042997,0.114212997,0.110936999,0.112783998,0.112783998,400614617,45687291.71,-0.011083039,0.10092228
16/03/2022,0.112778999,0.116907999,0.112364002,0.116907999,0.116907999,537170937,60581600.52,0.036565477,0.07603558
17/03/2022,0.116907001,0.118709996,0.116281003,0.116502002,0.116502002,412838814,48263747.45,-0.003472791,0.13307236
18/03/2022,0.116489999,0.119374998,0.114568003,0.119305998,0.119305998,410862503,47861372.56,0.024068223,0.08927542
19/03/2022,0.119277999,0.124573,0.118529998,0.123568997,0.123568997,628081786,74916338.52,0.035731638,0.22352464
20/03/2022,0.123579003,0.123919003,0.117991,0.119153999,0.119153999,428111799,52905629.26,-0.035729011,0.11055492
21/03/2022,0.119145997,0.121331997,0.118306004,0.119338997,0.119338997,439486516,52363059.06,0.001552595,0.11594362
22/03/2022,0.119332999,0.125349998,0.119014002,0.122481003,0.122481003,610507111,72853644.46,0.026328416,0
23/03/2022,0.122487001,0.130713001,0.121361002,0.129727006,0.129727006,998922753,122355052.4,0.059160215,0.14048446
24/03/2022,0.129721999,0.140605003,0.128454998,0.136549994,0.136549994,2017926806,261769499.4,0.052594973,0.11773588
25/03/2022,0.136602998,0.137274995,0.128782004,0.131013006,0.131013006,882486375,120550284.3,-0.040549166,0.16142226
26/03/2022,0.131009996,0.136494994,0.129877999,0.135867998,0.135867998,610401998,79968763.28,0.037057329,0.227658
27/03/2022,0.135900006,0.144858003,0.135702997,0.144731998,0.144731998,1445019558,196378166.2,0.065239796,0.16902984
28/03/2022,0.144724995,0.152737007,0.142456993,0.142656997,0.142656997,1476875507,213740800.2,-0.014336854,0.15358628
29/03/2022,0.142556995,0.148559004,0.141289994,0.144470006,0.144470006,961074557,137007901,0.012708871,0.11497318
30/03/2022,0.144455999,0.144997001,0.139880002,0.143209994,0.143209994,884305263,127743200.3,-0.008721619,0.10706062
31/03/2022,0.143184006,0.147220001,0.137171999,0.137825996,0.137825996,1055136949,151078735.5,-0.037595129,0.083907281
03/04/2022,0.138903007,0.148558006,0.137088001,0.146452993,0.146452993,1047399132,145486888.9,0.054278486,0.14641722
04/04/2022,0.146412998,0.155312002,0.142008007,0.148590997,0.148590997,2253509569,329943093,0.014598566,0.09083162
13/04/2022,0.138070002,0.142608002,0.137067005,0.140080005,0.140080005,890728707,122982914.5,0.014513728,0.11992016
14/04/2022,0.140053004,0.146632999,0.138100997,0.143920004,0.143920004,1759067761,246362724.2,0.027412902,0.16788908
15/04/2022,0.143916994,0.149287,0.142766997,0.146026,0.146026,1140382087,164120362.4,0.014633101,0.115242019
16/04/2022,0.146017,0.147810996,0.142093003,0.143711999,0.143711999,584019179,85276728.51,-0.015846502,0.1312673
17/04/2022,0.143693,0.144709006,0.138995007,0.139458999,0.139458999,636442285,91452301.31,-0.02959391,0.12946602
18/04/2022,0.139470994,0.140460998,0.134384006,0.140285999,0.140285999,909718484,126879341.7,0.005930055,0.14183268
